Zone,Hospital,Type,Date,Measure Name,Actual,CTAS
Northern,,Primary Care Clinics,2023-12-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,24106,
Western,,Community Pharmacy PCCs,2023-12-01,Visits were completed at Community Pharmacy Primary Care Clinics,2918,
Western,,UCC,2023-12-01,Visits were completed at Urgent Care Centres,567,
Western,,Primary Care Clinics,2023-12-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,26124,
Central,,Mobile Primary Care,2023-12-01,Visits were completed at Mobile Primary Care Clinics,1297,
Central,,Community Pharmacy PCCs,2023-12-01,Visits were completed at Community Pharmacy Primary Care Clinics,5050,
Eastern,,Primary Care Clinics,2023-12-01,Visits were completed at Primary Care Clinics,1520,
Unknown,,VirtualCareNS,2023-12-01,Visits were completed through VirtualCareNS,10399,
Western,,Community Pharmacies,2023-12-01,Primary care services were completed at Community Pharmacies,6455,
Unknown,,VirtualCareNS,2023-12-01,Nova Scotians have registered for VirtualCareNS,85952,
Western,,Mobile Primary Care,2023-12-01,Visits were completed at Mobile Primary Care Clinics,289,
Northern,,UTC,2023-12-01,Visits were completed at Urgent Treatment Centres,768,
Western,,Pharmacy+,2023-12-01,Visits were completed at Pharmacy+ Clinics,353,
Northern,,Community Pharmacy PCCs,2023-12-01,Visits were completed at Community Pharmacy Primary Care Clinics,2090,
Central,,Primary Care Clinics,2023-12-01,Visits were completed at Primary Care Clinics,933,
Northern,,Primary Care Clinics,2023-12-01,Visits were completed at Primary Care Clinics,1786,
Central,,Primary Care Clinics,2023-12-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,74318,
Northern,,Community Pharmacies,2023-12-01,Primary care services were completed at Community Pharmacies,6342,
Western,,UTC,2023-12-01,Visits were completed at Urgent Treatment Centres,418,
Eastern,,UTC,2023-12-01,Visits were completed at Urgent Treatment Centres,2680,
Northern,,Pharmacy+,2023-12-01,Visits were completed at Pharmacy+ Clinics,774,
Western,,Primary Care Clinics,2023-12-01,Visits were completed at Primary Care Clinics,1893,
Eastern,,Community Pharmacy PCCs,2023-12-01,Visits were completed at Community Pharmacy Primary Care Clinics,1980,
Eastern,,Primary Care Clinics,2023-12-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,14811,
Eastern,,Community Pharmacies,2023-12-01,Primary care services were completed at Community Pharmacies,5879,
Central,,Pharmacy+,2023-12-01,Visits were completed at Pharmacy+ Clinics,317,
Unknown,,Diabetes Centre,2023-12-01,Visits were completed at Diabetes Centres,4861,
Central,,UTC,2023-12-01,Visits were completed at Urgent Treatment Centres,1081,
Eastern,,Mobile Primary Care,2023-12-01,Visits were completed at Mobile Primary Care Clinics,93,
Central,,UCC,2023-12-01,Visits were completed at Urgent Care Centres,390,
Central,,Community Pharmacies,2023-12-01,Primary care services were completed at Community Pharmacies,12037,
Eastern,,Primary Care Clinics,2023-11-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,13771,
Western,,Mobile Primary Care,2023-11-01,Visits were completed at Mobile Primary Care Clinics,199,
Eastern,,Community Pharmacy PCCs,2023-11-01,Visits were completed at Community Pharmacy Primary Care Clinics,1952,
Northern,,UTC,2023-11-01,Visits were completed at Urgent Treatment Centres,994,
Northern,,Community Pharmacy PCCs,2023-11-01,Visits were completed at Community Pharmacy Primary Care Clinics,1202,
Unknown,,VirtualCareNS,2023-11-01,Visits were completed through VirtualCareNS,6792,
Eastern,,Community Pharmacies,2023-11-01,Primary care services were completed at Community Pharmacies,5422,
Western,,Pharmacy+,2023-11-01,Visits were completed at Pharmacy+ Clinics,220,
Northern,,Primary Care Clinics,2023-11-01,Visits were completed at Primary Care Clinics,1888,
Central,,UCC,2023-11-01,Visits were completed at Urgent Care Centres,429,
Central,,Primary Care Clinics,2023-11-01,Visits were completed at Primary Care Clinics,1073,
Central,,Primary Care Clinics,2023-11-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,72743,
Northern,,Community Pharmacies,2023-11-01,Primary care services were completed at Community Pharmacies,6554,
Northern,,Primary Care Clinics,2023-11-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,24191,
Eastern,,UTC,2023-11-01,Visits were completed at Urgent Treatment Centres,2725,
Northern,,Pharmacy+,2023-11-01,Visits were completed at Pharmacy+ Clinics,805,
Central,,UTC,2023-11-01,Visits were completed at Urgent Treatment Centres,798,
Central,,Community Pharmacies,2023-11-01,Primary care services were completed at Community Pharmacies,12546,
Central,,Mobile Primary Care,2023-11-01,Visits were completed at Mobile Primary Care Clinics,1476,
Western,,UTC,2023-11-01,Visits were completed at Urgent Treatment Centres,357,
Western,,Primary Care Clinics,2023-11-01,Visits were completed at Primary Care Clinics,1821,
Western,,UCC,2023-11-01,Visits were completed at Urgent Care Centres,513,
Central,,Pharmacy+,2023-11-01,Visits were completed at Pharmacy+ Clinics,551,
Western,,Community Pharmacy PCCs,2023-11-01,Visits were completed at Community Pharmacy Primary Care Clinics,2671,
Western,,Primary Care Clinics,2023-11-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,26781,
Central,,Community Pharmacy PCCs,2023-11-01,Visits were completed at Community Pharmacy Primary Care Clinics,4216,
Unknown,,Diabetes Centre,2023-11-01,Visits were completed at Diabetes Centres,4790,
Eastern,,Primary Care Clinics,2023-11-01,Visits were completed at Primary Care Clinics,1596,
Eastern,,Mobile Primary Care,2023-11-01,Visits were completed at Mobile Primary Care Clinics,77,
Western,,Community Pharmacies,2023-11-01,Primary care services were completed at Community Pharmacies,6468,
Unknown,,VirtualCareNS,2023-11-01,Nova Scotians have registered for VirtualCareNS,81001,
Western,,Primary Care Clinics,2023-10-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,26552,
Western,,Community Pharmacy PCCs,2023-10-01,Visits were completed at Community Pharmacy Primary Care Clinics,2540,
Northern,,Pharmacy+,2023-10-01,Visits were completed at Pharmacy+ Clinics,633,
Western,,Mobile Primary Care,2023-10-01,Visits were completed at Mobile Primary Care Clinics,218,
Central,,UTC,2023-10-01,Visits were completed at Urgent Treatment Centres,706,
Western,,Primary Care Clinics,2023-10-01,Visits were completed at Primary Care Clinics,1423,
Northern,,UTC,2023-10-01,Visits were completed at Urgent Treatment Centres,765,
Central,,Primary Care Clinics,2023-10-01,Visits were completed at Primary Care Clinics,320,
Central,,UCC,2023-10-01,Visits were completed at Urgent Care Centres,354,
Central,,Community Pharmacies,2023-10-01,Primary care services were completed at Community Pharmacies,12447,
Central,,Mobile Primary Care,2023-10-01,Visits were completed at Mobile Primary Care Clinics,996,
Unknown,,Diabetes Centre,2023-10-01,Visits were completed at Diabetes Centres,4596,
Northern,,Primary Care Clinics,2023-10-01,Visits were completed at Primary Care Clinics,1462,
Eastern,,Community Pharmacies,2023-10-01,Primary care services were completed at Community Pharmacies,5336,
Unknown,,VirtualCareNS,2023-10-01,Nova Scotians have registered for VirtualCareNS,78314,
Northern,,Community Pharmacy PCCs,2023-10-01,Visits were completed at Community Pharmacy Primary Care Clinics,1023,
Western,,Pharmacy+,2023-10-01,Visits were completed at Pharmacy+ Clinics,265,
Western,,UCC,2023-10-01,Visits were completed at Urgent Care Centres,622,
Central,,Primary Care Clinics,2023-10-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,70471,
Eastern,,Primary Care Clinics,2023-10-01,Visits were completed at Primary Care Clinics,1479,
Western,,UTC,2023-10-01,Visits were completed at Urgent Treatment Centres,372,
Eastern,,Community Pharmacy PCCs,2023-10-01,Visits were completed at Community Pharmacy Primary Care Clinics,1769,
Eastern,,Primary Care Clinics,2023-10-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,13519,
Central,,Pharmacy+,2023-10-01,Visits were completed at Pharmacy+ Clinics,603,
Northern,,Community Pharmacies,2023-10-01,Primary care services were completed at Community Pharmacies,5842,
Northern,,Primary Care Clinics,2023-10-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,24936,
Unknown,,Mobile Primary Care,2023-10-01,Visits were completed at Mobile Primary Care Clinics,18,
Western,,Community Pharmacies,2023-10-01,Primary care services were completed at Community Pharmacies,5146,
Central,,Community Pharmacy PCCs,2023-10-01,Visits were completed at Community Pharmacy Primary Care Clinics,3773,
Eastern,,UTC,2023-10-01,Visits were completed at Urgent Treatment Centres,2699,
Unknown,,VirtualCareNS,2023-10-01,Visits were completed through VirtualCareNS,5967,
Unknown,,VirtualCareNS,2023-09-01,Nova Scotians have registered for VirtualCareNS,71878,
Northern,,Community Pharmacy PCCs,2023-09-01,Visits were completed at Community Pharmacy Primary Care Clinics,1001,
Western,,Community Pharmacy PCCs,2023-09-01,Visits were completed at Community Pharmacy Primary Care Clinics,2723,
Eastern,,Primary Care Clinics,2023-09-01,Visits were completed at Primary Care Clinics,1731,
Northern,,UTC,2023-09-01,Visits were completed at Urgent Treatment Centres,1559,
Western,,Mobile Primary Care,2023-09-01,Visits were completed at Mobile Primary Care Clinics,220,
Central,,Pharmacy+,2023-09-01,Visits were completed at Pharmacy+ Clinics,576,
Central,,Primary Care Clinics,2023-09-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,68580,
Unknown,,Mobile Primary Care,2023-09-01,Visits were completed at Mobile Primary Care Clinics,1,
Eastern,,Primary Care Clinics,2023-09-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,13797,
Eastern,,UTC,2023-09-01,Visits were completed at Urgent Treatment Centres,2755,
Northern,,Mobile Primary Care,2023-09-01,Visits were completed at Mobile Primary Care Clinics,9,
Unknown,,VirtualCareNS,2023-09-01,Visits were completed through VirtualCareNS,5483,
Eastern,,Mobile Primary Care,2023-09-01,Visits were completed at Mobile Primary Care Clinics,56,
Northern,,Primary Care Clinics,2023-09-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,24710,
Central,,UTC,2023-09-01,Visits were completed at Urgent Treatment Centres,805,
Western,,Primary Care Clinics,2023-09-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,26496,
Western,,UCC,2023-09-01,Visits were completed at Urgent Care Centres,542,
Central,,Mobile Primary Care,2023-09-01,Visits were completed at Mobile Primary Care Clinics,1214,
Central,,Community Pharmacies,2023-09-01,Primary care services were completed at Community Pharmacies,12693,
Central,,UCC,2023-09-01,Visits were completed at Urgent Care Centres,430,
Northern,,Pharmacy+,2023-09-01,Visits were completed at Pharmacy+ Clinics,731,
Eastern,,Community Pharmacies,2023-09-01,Primary care services were completed at Community Pharmacies,5913,
Unknown,,Diabetes Centre,2023-09-01,Visits were completed at Diabetes Centres,4543,
Western,,Primary Care Clinics,2023-09-01,Visits were completed at Primary Care Clinics,1375,
Western,,UTC,2023-09-01,Visits were completed at Urgent Treatment Centres,409,
Northern,,Community Pharmacies,2023-09-01,Primary care services were completed at Community Pharmacies,6156,
Western,,Pharmacy+,2023-09-01,Visits were completed at Pharmacy+ Clinics,172,
Northern,,Primary Care Clinics,2023-09-01,Visits were completed at Primary Care Clinics,1562,
Western,,Community Pharmacies,2023-09-01,Primary care services were completed at Community Pharmacies,5803,
Central,,Community Pharmacy PCCs,2023-09-01,Visits were completed at Community Pharmacy Primary Care Clinics,3612,
Central,,Primary Care Clinics,2023-09-01,Visits were completed at Primary Care Clinics,780,
Eastern,,Community Pharmacy PCCs,2023-09-01,Visits were completed at Community Pharmacy Primary Care Clinics,2008,
Northern,,Pharmacy+,2023-08-01,Visits were completed at Pharmacy+ Clinics,773,
Western,,UCC,2023-08-01,Visits were completed at Urgent Care Centres,563,
Western,,Mobile Primary Care,2023-08-01,Visits were completed at Mobile Primary Care Clinics,216,
Central,,Community Pharmacies,2023-08-01,Primary care services were completed at Community Pharmacies,11953,
Unknown,,Mobile Primary Care,2023-08-01,Visits were completed at Mobile Primary Care Clinics,2,
Eastern,,Community Pharmacy PCCs,2023-08-01,Visits were completed at Community Pharmacy Primary Care Clinics,1946,
Western,,Primary Care Clinics,2023-08-01,Visits were completed at Primary Care Clinics,1428,
Eastern,,Primary Care Clinics,2023-08-01,Visits were completed at Primary Care Clinics,1466,
Northern,,Primary Care Clinics,2023-08-01,Visits were completed at Primary Care Clinics,1411,
Unknown,,Diabetes Centre,2023-08-01,Visits were completed at Diabetes Centres,4480,
Central,,UCC,2023-08-01,Visits were completed at Urgent Care Centres,448,
Central,,Primary Care Clinics,2023-08-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,71569,
Western,,Pharmacy+,2023-08-01,Visits were completed at Pharmacy+ Clinics,120,
Western,,UTC,2023-08-01,Visits were completed at Urgent Treatment Centres,378,
Northern,,Community Pharmacy PCCs,2023-08-01,Visits were completed at Community Pharmacy Primary Care Clinics,967,
Northern,,Community Pharmacies,2023-08-01,Primary care services were completed at Community Pharmacies,5606,
Western,,Community Pharmacy PCCs,2023-08-01,Visits were completed at Community Pharmacy Primary Care Clinics,2539,
Unknown,,VirtualCareNS,2023-08-01,Visits were completed through VirtualCareNS,5139,
Central,,Mobile Primary Care,2023-08-01,Visits were completed at Mobile Primary Care Clinics,1337,
Western,,Primary Care Clinics,2023-08-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,29377,
Central,,Community Pharmacy PCCs,2023-08-01,Visits were completed at Community Pharmacy Primary Care Clinics,3128,
Central,,UTC,2023-08-01,Visits were completed at Urgent Treatment Centres,653,
Central,,Primary Care Clinics,2023-08-01,Visits were completed at Primary Care Clinics,984,
Unknown,,VirtualCareNS,2023-08-01,Nova Scotians have registered for VirtualCareNS,69055,
Central,,Pharmacy+,2023-08-01,Visits were completed at Pharmacy+ Clinics,398,
Northern,,Primary Care Clinics,2023-08-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,25966,
Eastern,,Community Pharmacies,2023-08-01,Primary care services were completed at Community Pharmacies,4944,
Western,,Community Pharmacies,2023-08-01,Primary care services were completed at Community Pharmacies,5769,
Northern,,UTC,2023-08-01,Visits were completed at Urgent Treatment Centres,1322,
Eastern,,Mobile Primary Care,2023-08-01,Visits were completed at Mobile Primary Care Clinics,64,
Eastern,,UTC,2023-08-01,Visits were completed at Urgent Treatment Centres,2828,
Eastern,,Primary Care Clinics,2023-08-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,15078,
Central,,Pharmacy+,2023-07-01,Visits were completed at Pharmacy+ Clinics,579,
Central,,Mobile Primary Care,2023-07-01,Visits were completed at Mobile Primary Care Clinics,837,
Central,,Community Pharmacies,2023-07-01,Primary care services were completed at Community Pharmacies,11738,
Central,,UTC,2023-07-01,Visits were completed at Urgent Treatment Centres,601,
Northern,,Primary Care Clinics,2023-07-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,25966,
Northern,,Pharmacy+,2023-07-01,Visits were completed at Pharmacy+ Clinics,866,
Central,,UCC,2023-07-01,Visits were completed at Urgent Care Centres,352,
Northern,,Primary Care Clinics,2023-07-01,Visits were completed at Primary Care Clinics,1817,
Western,,Pharmacy+,2023-07-01,Visits were completed at Pharmacy+ Clinics,149,
Eastern,,Community Pharmacies,2023-07-01,Primary care services were completed at Community Pharmacies,4796,
Eastern,,UTC,2023-07-01,Visits were completed at Urgent Treatment Centres,2512,
Eastern,,Primary Care Clinics,2023-07-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,15078,
Eastern,,Community Pharmacy PCCs,2023-07-01,Visits were completed at Community Pharmacy Primary Care Clinics,1891,
Unknown,,Mobile Primary Care,2023-07-01,Visits were completed at Mobile Primary Care Clinics,381,
Western,,Primary Care Clinics,2023-07-01,Visits were completed at Primary Care Clinics,1578,
Unknown,,Diabetes Centre,2023-07-01,Visits were completed at Diabetes Centres,4418,
Northern,,Community Pharmacies,2023-07-01,Primary care services were completed at Community Pharmacies,5239,
Northern,,UTC,2023-07-01,Visits were completed at Urgent Treatment Centres,1429,
Western,,Community Pharmacy PCCs,2023-07-01,Visits were completed at Community Pharmacy Primary Care Clinics,2489,
Central,,Primary Care Clinics,2023-07-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,71569,
Western,,Mobile Primary Care,2023-07-01,Visits were completed at Mobile Primary Care Clinics,174,
Western,,UTC,2023-07-01,Visits were completed at Urgent Treatment Centres,459,
Western,,Community Pharmacies,2023-07-01,Primary care services were completed at Community Pharmacies,5867,
Eastern,,Primary Care Clinics,2023-07-01,Visits were completed at Primary Care Clinics,1155,
Northern,,Community Pharmacy PCCs,2023-07-01,Visits were completed at Community Pharmacy Primary Care Clinics,1383,
Central,,Primary Care Clinics,2023-07-01,Visits were completed at Primary Care Clinics,520,
Unknown,,VirtualCareNS,2023-07-01,Nova Scotians have registered for VirtualCareNS,66374,
Central,,Community Pharmacy PCCs,2023-07-01,Visits were completed at Community Pharmacy Primary Care Clinics,2945,
Western,,Primary Care Clinics,2023-07-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,29377,
Eastern,,Mobile Primary Care,2023-07-01,Visits were completed at Mobile Primary Care Clinics,32,
Western,,UCC,2023-07-01,Visits were completed at Urgent Care Centres,630,
Unknown,,VirtualCareNS,2023-07-01,Visits were completed through VirtualCareNS,6437,
Central,,Primary Care Clinics,2023-06-01,Visits were completed at Primary Care Clinics,455,
Western,,UTC,2023-06-01,Visits were completed at Urgent Treatment Centres,482,
Western,,Community Pharmacies,2023-06-01,Primary care services were completed at Community Pharmacies,6160,
Central,,UCC,2023-06-01,Visits were completed at Urgent Care Centres,424,
Eastern,,Community Pharmacy PCCs,2023-06-01,Visits were completed at Community Pharmacy Primary Care Clinics,1713,
Northern,,Primary Care Clinics,2023-06-01,Visits were completed at Primary Care Clinics,1923,
Eastern,,Community Pharmacies,2023-06-01,Primary care services were completed at Community Pharmacies,5012,
Northern,,Primary Care Clinics,2023-06-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,25487,
Unknown,,Mobile Primary Care,2023-06-01,Visits were completed at Mobile Primary Care Clinics,496,
Central,,Community Pharmacies,2023-06-01,Primary care services were completed at Community Pharmacies,12169,
Northern,,Mobile Primary Care,2023-06-01,Visits were completed at Mobile Primary Care Clinics,1,
Western,,UCC,2023-06-01,Visits were completed at Urgent Care Centres,673,
Central,,Community Pharmacy PCCs,2023-06-01,Visits were completed at Community Pharmacy Primary Care Clinics,1951,
Central,,Mobile Primary Care,2023-06-01,Visits were completed at Mobile Primary Care Clinics,761,
Western,,Pharmacy+,2023-06-01,Visits were completed at Pharmacy+ Clinics,119,
Eastern,,Primary Care Clinics,2023-06-01,Visits were completed at Primary Care Clinics,1377,
Northern,,Pharmacy+,2023-06-01,Visits were completed at Pharmacy+ Clinics,902,
Unknown,,VirtualCareNS,2023-06-01,Visits were completed through VirtualCareNS,5928,
Western,,Mobile Primary Care,2023-06-01,Visits were completed at Mobile Primary Care Clinics,144,
Northern,,UTC,2023-06-01,Visits were completed at Urgent Treatment Centres,1590,
Unknown,,VirtualCareNS,2023-06-01,Nova Scotians have registered for VirtualCareNS,64463,
Northern,,Community Pharmacies,2023-06-01,Primary care services were completed at Community Pharmacies,5379,
Northern,,Community Pharmacy PCCs,2023-06-01,Visits were completed at Community Pharmacy Primary Care Clinics,1648,
Western,,Primary Care Clinics,2023-06-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,29047,
Unknown,,Diabetes Centre,2023-06-01,Visits were completed at Diabetes Centres,5011,
Central,,Pharmacy+,2023-06-01,Visits were completed at Pharmacy+ Clinics,502,
Central,,Primary Care Clinics,2023-06-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,68844,
Eastern,,Mobile Primary Care,2023-06-01,Visits were completed at Mobile Primary Care Clinics,86,
Western,,Community Pharmacy PCCs,2023-06-01,Visits were completed at Community Pharmacy Primary Care Clinics,2577,
