Year,Zone,Sex,Agegroup,Population,Prevalence,Crude Prevalence Rate
2000,Zone 4 - Central,F,20 to 29,30198,223,0.74
2000,Zone 4 - Central,F,30 to 39,34639,455,1.31
2000,Zone 4 - Central,F,40 to 49,32980,934,2.83
2000,Zone 4 - Central,F,50 to 59,24173,1667,6.9
2000,Zone 4 - Central,F,60 to 69,14990,1818,12.13
2000,Zone 4 - Central,F,70 to 79,12052,1934,16.05
2000,Zone 4 - Central,F,80 +,8411,1219,14.49
2000,Zone 4 - Central,M,20 to 29,28067,184,0.66
2000,Zone 4 - Central,M,30 to 39,31448,467,1.48
2000,Zone 4 - Central,M,40 to 49,30424,985,3.24
2000,Zone 4 - Central,M,50 to 59,22981,2138,9.3
2000,Zone 4 - Central,M,60 to 69,14044,2405,17.12
2000,Zone 4 - Central,M,70 to 79,8889,1819,20.46
2000,Zone 4 - Central,M,80 +,4006,784,19.57
2000,Zone 3 - Eastern,F,20 to 29,10667,126,1.18
2000,Zone 3 - Eastern,F,30 to 39,12657,256,2.02
2000,Zone 3 - Eastern,F,40 to 49,15258,565,3.7
2000,Zone 3 - Eastern,F,50 to 59,12308,1011,8.21
2000,Zone 3 - Eastern,F,60 to 69,8521,1214,14.25
2000,Zone 3 - Eastern,F,70 to 79,6858,1276,18.61
2000,Zone 3 - Eastern,F,80 +,5643,919,16.29
2000,Zone 3 - Eastern,M,20 to 29,10920,92,0.84
2000,Zone 3 - Eastern,M,30 to 39,12412,222,1.79
2000,Zone 3 - Eastern,M,40 to 49,15102,647,4.28
2000,Zone 3 - Eastern,M,50 to 59,12773,1340,10.49
2000,Zone 3 - Eastern,M,60 to 69,8292,1484,17.9
2000,Zone 3 - Eastern,M,70 to 79,5414,1258,23.24
2000,Zone 3 - Eastern,M,80 +,2853,619,21.7
2000,Zone 2 - Northern,F,20 to 29,9980,90,0.9
2000,Zone 2 - Northern,F,30 to 39,11943,189,1.58
2000,Zone 2 - Northern,F,40 to 49,12834,360,2.81
2000,Zone 2 - Northern,F,50 to 59,10147,680,6.7
2000,Zone 2 - Northern,F,60 to 69,6797,843,12.4
2000,Zone 2 - Northern,F,70 to 79,5746,894,15.56
2000,Zone 2 - Northern,F,80 +,4572,683,14.94
2000,Zone 2 - Northern,M,20 to 29,9938,79,0.79
2000,Zone 2 - Northern,M,30 to 39,11645,156,1.34
2000,Zone 2 - Northern,M,40 to 49,12670,474,3.74
2000,Zone 2 - Northern,M,50 to 59,10322,907,8.79
2000,Zone 2 - Northern,M,60 to 69,6578,1003,15.25
2000,Zone 2 - Northern,M,70 to 79,4444,862,19.4
2000,Zone 2 - Northern,M,80 +,2260,414,18.32
2000,Zone 1 - Western,F,20 to 29,11986,94,0.78
2000,Zone 1 - Western,F,30 to 39,15866,238,1.5
2000,Zone 1 - Western,F,40 to 49,17474,592,3.39
2000,Zone 1 - Western,F,50 to 59,14376,1070,7.44
2000,Zone 1 - Western,F,60 to 69,9693,1310,13.51
2000,Zone 1 - Western,F,70 to 79,7792,1388,17.81
2000,Zone 1 - Western,F,80 +,6197,1011,16.31
2000,Zone 1 - Western,M,20 to 29,11847,65,0.55
2000,Zone 1 - Western,M,30 to 39,14993,202,1.35
2000,Zone 1 - Western,M,40 to 49,16812,578,3.44
2000,Zone 1 - Western,M,50 to 59,14233,1347,9.46
2000,Zone 1 - Western,M,60 to 69,9535,1460,15.31
2000,Zone 1 - Western,M,70 to 79,6504,1355,20.83
2000,Zone 1 - Western,M,80 +,3496,676,19.34
2001,Zone 4 - Central,F,20 to 29,30093,220,0.73
2001,Zone 4 - Central,F,30 to 39,34311,490,1.43
2001,Zone 4 - Central,F,40 to 49,33886,1030,3.04
2001,Zone 4 - Central,F,50 to 59,25241,1842,7.3
2001,Zone 4 - Central,F,60 to 69,15353,1954,12.73
2001,Zone 4 - Central,F,70 to 79,12136,2022,16.66
2001,Zone 4 - Central,F,80 +,8762,1301,14.85
2001,Zone 4 - Central,M,20 to 29,28242,178,0.63
2001,Zone 4 - Central,M,30 to 39,31239,479,1.53
2001,Zone 4 - Central,M,40 to 49,31456,1100,3.5
2001,Zone 4 - Central,M,50 to 59,23897,2323,9.72
2001,Zone 4 - Central,M,60 to 69,14387,2597,18.05
2001,Zone 4 - Central,M,70 to 79,9092,1978,21.76
2001,Zone 4 - Central,M,80 +,4301,872,20.27
2001,Zone 3 - Eastern,F,20 to 29,10454,130,1.24
2001,Zone 3 - Eastern,F,30 to 39,12314,260,2.11
2001,Zone 3 - Eastern,F,40 to 49,15289,637,4.17
2001,Zone 3 - Eastern,F,50 to 59,12706,1050,8.26
2001,Zone 3 - Eastern,F,60 to 69,8653,1330,15.37
2001,Zone 3 - Eastern,F,70 to 79,6813,1329,19.51
2001,Zone 3 - Eastern,F,80 +,5759,982,17.05
2001,Zone 3 - Eastern,M,20 to 29,10647,94,0.88
2001,Zone 3 - Eastern,M,30 to 39,12023,247,2.05
2001,Zone 3 - Eastern,M,40 to 49,15104,669,4.43
2001,Zone 3 - Eastern,M,50 to 59,13125,1465,11.16
2001,Zone 3 - Eastern,M,60 to 69,8463,1586,18.74
2001,Zone 3 - Eastern,M,70 to 79,5459,1325,24.27
2001,Zone 3 - Eastern,M,80 +,2880,644,22.36
2001,Zone 2 - Northern,F,20 to 29,9734,90,0.92
2001,Zone 2 - Northern,F,30 to 39,11691,203,1.74
2001,Zone 2 - Northern,F,40 to 49,13052,426,3.26
2001,Zone 2 - Northern,F,50 to 59,10466,769,7.35
2001,Zone 2 - Northern,F,60 to 69,6959,897,12.89
2001,Zone 2 - Northern,F,70 to 79,5698,927,16.27
2001,Zone 2 - Northern,F,80 +,4679,752,16.07
2001,Zone 2 - Northern,M,20 to 29,9669,77,0.8
2001,Zone 2 - Northern,M,30 to 39,11495,178,1.55
2001,Zone 2 - Northern,M,40 to 49,12793,528,4.13
2001,Zone 2 - Northern,M,50 to 59,10678,989,9.26
2001,Zone 2 - Northern,M,60 to 69,6747,1107,16.41
2001,Zone 2 - Northern,M,70 to 79,4485,915,20.4
2001,Zone 2 - Northern,M,80 +,2360,463,19.62
2001,Zone 1 - Western,F,20 to 29,11695,98,0.84
2001,Zone 1 - Western,F,30 to 39,15336,246,1.6
2001,Zone 1 - Western,F,40 to 49,17773,657,3.7
2001,Zone 1 - Western,F,50 to 59,14817,1179,7.96
2001,Zone 1 - Western,F,60 to 69,9870,1389,14.07
2001,Zone 1 - Western,F,70 to 79,7789,1461,18.76
2001,Zone 1 - Western,F,80 +,6378,1132,17.75
2001,Zone 1 - Western,M,20 to 29,11613,66,0.57
2001,Zone 1 - Western,M,30 to 39,14477,227,1.57
2001,Zone 1 - Western,M,40 to 49,17043,637,3.74
2001,Zone 1 - Western,M,50 to 59,14677,1447,9.86
2001,Zone 1 - Western,M,60 to 69,9814,1620,16.51
2001,Zone 1 - Western,M,70 to 79,6552,1422,21.7
2001,Zone 1 - Western,M,80 +,3584,738,20.59
2002,Zone 4 - Central,F,20 to 29,30258,232,0.77
2002,Zone 4 - Central,F,30 to 39,33899,506,1.49
2002,Zone 4 - Central,F,40 to 49,34838,1126,3.23
2002,Zone 4 - Central,F,50 to 59,26205,1980,7.56
2002,Zone 4 - Central,F,60 to 69,15863,2113,13.32
2002,Zone 4 - Central,F,70 to 79,12145,2104,17.32
2002,Zone 4 - Central,F,80 +,9050,1432,15.82
2002,Zone 4 - Central,M,20 to 29,28497,199,0.7
2002,Zone 4 - Central,M,30 to 39,30897,498,1.61
2002,Zone 4 - Central,M,40 to 49,32471,1228,3.78
2002,Zone 4 - Central,M,50 to 59,24789,2488,10.04
2002,Zone 4 - Central,M,60 to 69,14870,2773,18.65
2002,Zone 4 - Central,M,70 to 79,9313,2110,22.66
2002,Zone 4 - Central,M,80 +,4498,918,20.41
2002,Zone 3 - Eastern,F,20 to 29,10260,126,1.23
2002,Zone 3 - Eastern,F,30 to 39,11819,289,2.45
2002,Zone 3 - Eastern,F,40 to 49,15360,667,4.34
2002,Zone 3 - Eastern,F,50 to 59,13118,1129,8.61
2002,Zone 3 - Eastern,F,60 to 69,8870,1438,16.21
2002,Zone 3 - Eastern,F,70 to 79,6780,1391,20.52
2002,Zone 3 - Eastern,F,80 +,5837,1063,18.21
2002,Zone 3 - Eastern,M,20 to 29,10498,105,1
2002,Zone 3 - Eastern,M,30 to 39,11609,255,2.2
2002,Zone 3 - Eastern,M,40 to 49,15022,715,4.76
2002,Zone 3 - Eastern,M,50 to 59,13492,1572,11.65
2002,Zone 3 - Eastern,M,60 to 69,8727,1692,19.39
2002,Zone 3 - Eastern,M,70 to 79,5533,1426,25.77
2002,Zone 3 - Eastern,M,80 +,2891,690,23.87
2002,Zone 2 - Northern,F,20 to 29,9584,89,0.93
2002,Zone 2 - Northern,F,30 to 39,11382,227,1.99
2002,Zone 2 - Northern,F,40 to 49,13209,473,3.58
2002,Zone 2 - Northern,F,50 to 59,10774,831,7.71
2002,Zone 2 - Northern,F,60 to 69,7197,969,13.46
2002,Zone 2 - Northern,F,70 to 79,5700,980,17.19
2002,Zone 2 - Northern,F,80 +,4729,796,16.83
2002,Zone 2 - Northern,M,20 to 29,9489,82,0.86
2002,Zone 2 - Northern,M,30 to 39,11290,182,1.61
2002,Zone 2 - Northern,M,40 to 49,12864,546,4.24
2002,Zone 2 - Northern,M,50 to 59,10923,1112,10.18
2002,Zone 2 - Northern,M,60 to 69,7045,1200,17.03
2002,Zone 2 - Northern,M,70 to 79,4554,1006,22.09
2002,Zone 2 - Northern,M,80 +,2429,495,20.38
2002,Zone 1 - Western,F,20 to 29,11504,94,0.82
2002,Zone 1 - Western,F,30 to 39,14786,257,1.74
2002,Zone 1 - Western,F,40 to 49,18011,702,3.9
2002,Zone 1 - Western,F,50 to 59,15198,1282,8.44
2002,Zone 1 - Western,F,60 to 69,10232,1477,14.44
2002,Zone 1 - Western,F,70 to 79,7825,1542,19.71
2002,Zone 1 - Western,F,80 +,6464,1212,18.75
2002,Zone 1 - Western,M,20 to 29,11431,71,0.62
2002,Zone 1 - Western,M,30 to 39,13995,227,1.62
2002,Zone 1 - Western,M,40 to 49,17264,682,3.95
2002,Zone 1 - Western,M,50 to 59,15068,1573,10.44
2002,Zone 1 - Western,M,60 to 69,10140,1758,17.34
2002,Zone 1 - Western,M,70 to 79,6588,1506,22.86
2002,Zone 1 - Western,M,80 +,3685,802,21.76
2003,Zone 4 - Central,F,20 to 29,30517,236,0.77
2003,Zone 4 - Central,F,30 to 39,33482,535,1.6
2003,Zone 4 - Central,F,40 to 49,35571,1235,3.47
2003,Zone 4 - Central,F,50 to 59,27264,2114,7.75
2003,Zone 4 - Central,F,60 to 69,16419,2272,13.84
2003,Zone 4 - Central,F,70 to 79,12228,2216,18.12
2003,Zone 4 - Central,F,80 +,9301,1495,16.07
2003,Zone 4 - Central,M,20 to 29,29039,209,0.72
2003,Zone 4 - Central,M,30 to 39,30418,507,1.67
2003,Zone 4 - Central,M,40 to 49,33438,1337,4
2003,Zone 4 - Central,M,50 to 59,25712,2625,10.21
2003,Zone 4 - Central,M,60 to 69,15440,3012,19.51
2003,Zone 4 - Central,M,70 to 79,9509,2263,23.8
2003,Zone 4 - Central,M,80 +,4629,970,20.95
2003,Zone 3 - Eastern,F,20 to 29,10301,125,1.21
2003,Zone 3 - Eastern,F,30 to 39,11448,312,2.73
2003,Zone 3 - Eastern,F,40 to 49,15233,677,4.44
2003,Zone 3 - Eastern,F,50 to 59,13489,1244,9.22
2003,Zone 3 - Eastern,F,60 to 69,9129,1512,16.56
2003,Zone 3 - Eastern,F,70 to 79,6778,1453,21.44
2003,Zone 3 - Eastern,F,80 +,5842,1098,18.79
2003,Zone 3 - Eastern,M,20 to 29,10553,114,1.08
2003,Zone 3 - Eastern,M,30 to 39,11253,272,2.42
2003,Zone 3 - Eastern,M,40 to 49,14849,735,4.95
2003,Zone 3 - Eastern,M,50 to 59,13890,1681,12.1
2003,Zone 3 - Eastern,M,60 to 69,9043,1782,19.71
2003,Zone 3 - Eastern,M,70 to 79,5516,1498,27.16
2003,Zone 3 - Eastern,M,80 +,2952,714,24.19
2003,Zone 2 - Northern,F,20 to 29,9493,86,0.91
2003,Zone 2 - Northern,F,30 to 39,11166,232,2.08
2003,Zone 2 - Northern,F,40 to 49,13257,525,3.96
2003,Zone 2 - Northern,F,50 to 59,11186,903,8.07
2003,Zone 2 - Northern,F,60 to 69,7432,1039,13.98
2003,Zone 2 - Northern,F,70 to 79,5691,1017,17.87
2003,Zone 2 - Northern,F,80 +,4733,830,17.54
2003,Zone 2 - Northern,M,20 to 29,9395,78,0.83
2003,Zone 2 - Northern,M,30 to 39,10982,204,1.86
2003,Zone 2 - Northern,M,40 to 49,12959,568,4.38
2003,Zone 2 - Northern,M,50 to 59,11250,1159,10.3
2003,Zone 2 - Northern,M,60 to 69,7324,1299,17.74
2003,Zone 2 - Northern,M,70 to 79,4620,1070,23.16
2003,Zone 2 - Northern,M,80 +,2449,521,21.27
2003,Zone 1 - Western,F,20 to 29,11487,93,0.81
2003,Zone 1 - Western,F,30 to 39,14097,255,1.81
2003,Zone 1 - Western,F,40 to 49,18275,761,4.16
2003,Zone 1 - Western,F,50 to 59,15616,1368,8.76
2003,Zone 1 - Western,F,60 to 69,10612,1603,15.11
2003,Zone 1 - Western,F,70 to 79,7861,1637,20.82
2003,Zone 1 - Western,F,80 +,6555,1265,19.3
2003,Zone 1 - Western,M,20 to 29,11386,75,0.66
2003,Zone 1 - Western,M,30 to 39,13485,215,1.59
2003,Zone 1 - Western,M,40 to 49,17447,729,4.18
2003,Zone 1 - Western,M,50 to 59,15459,1691,10.94
2003,Zone 1 - Western,M,60 to 69,10463,1924,18.39
2003,Zone 1 - Western,M,70 to 79,6719,1571,23.38
2003,Zone 1 - Western,M,80 +,3758,894,23.79
2004,Zone 4 - Central,F,20 to 29,30960,230,0.74
2004,Zone 4 - Central,F,30 to 39,32956,561,1.7
2004,Zone 4 - Central,F,40 to 49,36142,1311,3.63
2004,Zone 4 - Central,F,50 to 59,28313,2272,8.02
2004,Zone 4 - Central,F,60 to 69,17077,2468,14.45
2004,Zone 4 - Central,F,70 to 79,12313,2354,19.12
2004,Zone 4 - Central,F,80 +,9496,1559,16.42
2004,Zone 4 - Central,M,20 to 29,29548,223,0.75
2004,Zone 4 - Central,M,30 to 39,30042,534,1.78
2004,Zone 4 - Central,M,40 to 49,34094,1482,4.35
2004,Zone 4 - Central,M,50 to 59,26638,2811,10.55
2004,Zone 4 - Central,M,60 to 69,16026,3212,20.04
2004,Zone 4 - Central,M,70 to 79,9737,2427,24.93
2004,Zone 4 - Central,M,80 +,4776,1029,21.55
2004,Zone 3 - Eastern,F,20 to 29,10205,119,1.17
2004,Zone 3 - Eastern,F,30 to 39,11085,310,2.8
2004,Zone 3 - Eastern,F,40 to 49,15113,693,4.59
2004,Zone 3 - Eastern,F,50 to 59,13931,1350,9.69
2004,Zone 3 - Eastern,F,60 to 69,9460,1609,17.01
2004,Zone 3 - Eastern,F,70 to 79,6740,1525,22.63
2004,Zone 3 - Eastern,F,80 +,5891,1167,19.81
2004,Zone 3 - Eastern,M,20 to 29,10535,117,1.11
2004,Zone 3 - Eastern,M,30 to 39,10998,283,2.57
2004,Zone 3 - Eastern,M,40 to 49,14586,735,5.04
2004,Zone 3 - Eastern,M,50 to 59,14405,1829,12.7
2004,Zone 3 - Eastern,M,60 to 69,9270,1902,20.52
2004,Zone 3 - Eastern,M,70 to 79,5562,1531,27.53
2004,Zone 3 - Eastern,M,80 +,3016,783,25.96
2004,Zone 2 - Northern,F,20 to 29,9366,87,0.93
2004,Zone 2 - Northern,F,30 to 39,10906,234,2.15
2004,Zone 2 - Northern,F,40 to 49,13264,571,4.3
2004,Zone 2 - Northern,F,50 to 59,11690,968,8.28
2004,Zone 2 - Northern,F,60 to 69,7600,1129,14.86
2004,Zone 2 - Northern,F,70 to 79,5646,1068,18.92
2004,Zone 2 - Northern,F,80 +,4858,874,17.99
2004,Zone 2 - Northern,M,20 to 29,9434,77,0.82
2004,Zone 2 - Northern,M,30 to 39,10584,223,2.11
2004,Zone 2 - Northern,M,40 to 49,13102,607,4.63
2004,Zone 2 - Northern,M,50 to 59,11614,1252,10.78
2004,Zone 2 - Northern,M,60 to 69,7626,1434,18.8
2004,Zone 2 - Northern,M,70 to 79,4656,1114,23.93
2004,Zone 2 - Northern,M,80 +,2527,555,21.96
2004,Zone 1 - Western,F,20 to 29,11445,94,0.82
2004,Zone 1 - Western,F,30 to 39,13624,279,2.05
2004,Zone 1 - Western,F,40 to 49,18361,802,4.37
2004,Zone 1 - Western,F,50 to 59,16166,1499,9.27
2004,Zone 1 - Western,F,60 to 69,10928,1733,15.86
2004,Zone 1 - Western,F,70 to 79,7915,1714,21.66
2004,Zone 1 - Western,F,80 +,6590,1310,19.88
2004,Zone 1 - Western,M,20 to 29,11285,76,0.67
2004,Zone 1 - Western,M,30 to 39,13048,238,1.82
2004,Zone 1 - Western,M,40 to 49,17478,794,4.54
2004,Zone 1 - Western,M,50 to 59,15903,1814,11.41
2004,Zone 1 - Western,M,60 to 69,10817,2094,19.36
2004,Zone 1 - Western,M,70 to 79,6828,1664,24.37
2004,Zone 1 - Western,M,80 +,3800,944,24.84
2005,Zone 4 - Central,F,20 to 29,31133,245,0.79
2005,Zone 4 - Central,F,30 to 39,32872,580,1.76
2005,Zone 4 - Central,F,40 to 49,36288,1375,3.79
2005,Zone 4 - Central,F,50 to 59,29470,2472,8.39
2005,Zone 4 - Central,F,60 to 69,17830,2668,14.96
2005,Zone 4 - Central,F,70 to 79,12268,2469,20.13
2005,Zone 4 - Central,F,80 +,9698,1673,17.25
2005,Zone 4 - Central,M,20 to 29,29850,234,0.78
2005,Zone 4 - Central,M,30 to 39,29913,530,1.77
2005,Zone 4 - Central,M,40 to 49,34439,1566,4.55
2005,Zone 4 - Central,M,50 to 59,27554,2981,10.82
2005,Zone 4 - Central,M,60 to 69,16760,3459,20.64
2005,Zone 4 - Central,M,70 to 79,9986,2611,26.15
2005,Zone 4 - Central,M,80 +,4907,1103,22.48
2005,Zone 3 - Eastern,F,20 to 29,10167,125,1.23
2005,Zone 3 - Eastern,F,30 to 39,10826,310,2.86
2005,Zone 3 - Eastern,F,40 to 49,14917,738,4.95
2005,Zone 3 - Eastern,F,50 to 59,14316,1460,10.2
2005,Zone 3 - Eastern,F,60 to 69,9734,1739,17.87
2005,Zone 3 - Eastern,F,70 to 79,6757,1576,23.32
2005,Zone 3 - Eastern,F,80 +,5893,1235,20.96
2005,Zone 3 - Eastern,M,20 to 29,10468,126,1.2
2005,Zone 3 - Eastern,M,30 to 39,10788,287,2.66
2005,Zone 3 - Eastern,M,40 to 49,14345,797,5.56
2005,Zone 3 - Eastern,M,50 to 59,14658,1927,13.15
2005,Zone 3 - Eastern,M,60 to 69,9548,2063,21.61
2005,Zone 3 - Eastern,M,70 to 79,5678,1612,28.39
2005,Zone 3 - Eastern,M,80 +,3033,808,26.64
2005,Zone 2 - Northern,F,20 to 29,9363,86,0.92
2005,Zone 2 - Northern,F,30 to 39,10629,246,2.31
2005,Zone 2 - Northern,F,40 to 49,13289,588,4.42
2005,Zone 2 - Northern,F,50 to 59,11998,1051,8.76
2005,Zone 2 - Northern,F,60 to 69,7847,1182,15.06
2005,Zone 2 - Northern,F,70 to 79,5670,1128,19.89
2005,Zone 2 - Northern,F,80 +,4920,938,19.07
2005,Zone 2 - Northern,M,20 to 29,9376,93,0.99
2005,Zone 2 - Northern,M,30 to 39,10364,232,2.24
2005,Zone 2 - Northern,M,40 to 49,13020,613,4.71
2005,Zone 2 - Northern,M,50 to 59,11936,1317,11.03
2005,Zone 2 - Northern,M,60 to 69,7846,1527,19.46
2005,Zone 2 - Northern,M,70 to 79,4740,1147,24.2
2005,Zone 2 - Northern,M,80 +,2579,585,22.68
