Year,Zone,Sex,Agegroup,Population,Prevalence,Crude Prevalence Rate
2017,Zone 3 - Eastern,F,20 to 29,9228,152,1.65
2017,Zone 3 - Eastern,F,30 to 39,9470,345,3.64
2017,Zone 3 - Eastern,F,40 to 49,10598,834,7.87
2017,Zone 3 - Eastern,F,50 to 59,14161,1777,12.55
2017,Zone 3 - Eastern,F,60 to 69,14359,2761,19.23
2017,Zone 3 - Eastern,F,70 to 79,9446,2574,27.25
2017,Zone 3 - Eastern,F,80 +,6264,1845,29.45
2017,Zone 3 - Eastern,M,20 to 29,9658,175,1.81
2017,Zone 3 - Eastern,M,30 to 39,9615,330,3.43
2017,Zone 3 - Eastern,M,40 to 49,10586,797,7.53
2017,Zone 3 - Eastern,M,50 to 59,13650,1957,14.34
2017,Zone 3 - Eastern,M,60 to 69,13971,3425,24.52
2017,Zone 3 - Eastern,M,70 to 79,8653,2869,33.16
2017,Zone 3 - Eastern,M,80 +,3962,1401,35.36
2017,Zone 2 - Northern,F,20 to 29,8794,88,1
2017,Zone 2 - Northern,F,30 to 39,9229,214,2.32
2017,Zone 2 - Northern,F,40 to 49,10791,699,6.48
2017,Zone 2 - Northern,F,50 to 59,13115,1424,10.86
2017,Zone 2 - Northern,F,60 to 69,12191,2214,18.16
2017,Zone 2 - Northern,F,70 to 79,7883,1912,24.25
2017,Zone 2 - Northern,F,80 +,5249,1317,25.09
2017,Zone 2 - Northern,M,20 to 29,9164,126,1.37
2017,Zone 2 - Northern,M,30 to 39,9034,245,2.71
2017,Zone 2 - Northern,M,40 to 49,10639,733,6.89
2017,Zone 2 - Northern,M,50 to 59,12754,1783,13.98
2017,Zone 2 - Northern,M,60 to 69,11970,2809,23.47
2017,Zone 2 - Northern,M,70 to 79,7408,2380,32.13
2017,Zone 2 - Northern,M,80 +,3515,1095,31.15
2017,Zone 1 - Western,F,20 to 29,10880,134,1.23
2017,Zone 1 - Western,F,30 to 39,11567,315,2.72
2017,Zone 1 - Western,F,40 to 49,13378,871,6.51
2017,Zone 1 - Western,F,50 to 59,18197,1983,10.9
2017,Zone 1 - Western,F,60 to 69,17531,3274,18.68
2017,Zone 1 - Western,F,70 to 79,11671,3022,25.89
2017,Zone 1 - Western,F,80 +,7752,2224,28.69
2017,Zone 1 - Western,M,20 to 29,11137,130,1.17
2017,Zone 1 - Western,M,30 to 39,10975,289,2.63
2017,Zone 1 - Western,M,40 to 49,12843,894,6.96
2017,Zone 1 - Western,M,50 to 59,17492,2459,14.06
2017,Zone 1 - Western,M,60 to 69,16904,4022,23.79
2017,Zone 1 - Western,M,70 to 79,10939,3599,32.9
2017,Zone 1 - Western,M,80 +,5358,1852,34.57
2018,Zone 4 - Central,F,20 to 29,34103,300,0.88
2018,Zone 4 - Central,F,30 to 39,36903,701,1.9
2018,Zone 4 - Central,F,40 to 49,34906,1592,4.56
2018,Zone 4 - Central,F,50 to 59,36771,3491,9.49
2018,Zone 4 - Central,F,60 to 69,30841,4995,16.2
2018,Zone 4 - Central,F,70 to 79,19490,4464,22.9
2018,Zone 4 - Central,F,80 +,12018,3050,25.38
2018,Zone 4 - Central,M,20 to 29,33681,321,0.95
2018,Zone 4 - Central,M,30 to 39,35397,784,2.21
2018,Zone 4 - Central,M,40 to 49,33156,1777,5.36
2018,Zone 4 - Central,M,50 to 59,35773,4583,12.81
2018,Zone 4 - Central,M,60 to 69,28724,6360,22.14
2018,Zone 4 - Central,M,70 to 79,17217,5434,31.56
2018,Zone 4 - Central,M,80 +,7846,2639,33.63
2018,Zone 3 - Eastern,F,20 to 29,9326,156,1.67
2018,Zone 3 - Eastern,F,30 to 39,9479,350,3.69
2018,Zone 3 - Eastern,F,40 to 49,10524,817,7.76
2018,Zone 3 - Eastern,F,50 to 59,13759,1770,12.86
2018,Zone 3 - Eastern,F,60 to 69,14533,2801,19.27
2018,Zone 3 - Eastern,F,70 to 79,9835,2683,27.28
2018,Zone 3 - Eastern,F,80 +,6351,1848,29.1
2018,Zone 3 - Eastern,M,20 to 29,9631,165,1.71
2018,Zone 3 - Eastern,M,30 to 39,9673,328,3.39
2018,Zone 3 - Eastern,M,40 to 49,10522,793,7.54
2018,Zone 3 - Eastern,M,50 to 59,13313,1945,14.61
2018,Zone 3 - Eastern,M,60 to 69,14078,3408,24.21
2018,Zone 3 - Eastern,M,70 to 79,9048,3051,33.72
2018,Zone 3 - Eastern,M,80 +,4101,1428,34.82
2018,Zone 2 - Northern,F,20 to 29,8740,101,1.16
2018,Zone 2 - Northern,F,30 to 39,9236,209,2.26
2018,Zone 2 - Northern,F,40 to 49,10750,714,6.64
2018,Zone 2 - Northern,F,50 to 59,12902,1446,11.21
2018,Zone 2 - Northern,F,60 to 69,12409,2251,18.14
2018,Zone 2 - Northern,F,70 to 79,8258,2011,24.35
2018,Zone 2 - Northern,F,80 +,5345,1353,25.31
2018,Zone 2 - Northern,M,20 to 29,9231,131,1.42
2018,Zone 2 - Northern,M,30 to 39,9108,250,2.74
2018,Zone 2 - Northern,M,40 to 49,10488,724,6.9
2018,Zone 2 - Northern,M,50 to 59,12652,1789,14.14
2018,Zone 2 - Northern,M,60 to 69,12099,2864,23.67
2018,Zone 2 - Northern,M,70 to 79,7741,2470,31.91
2018,Zone 2 - Northern,M,80 +,3640,1171,32.17
2018,Zone 1 - Western,F,20 to 29,10892,139,1.28
2018,Zone 1 - Western,F,30 to 39,11717,317,2.71
2018,Zone 1 - Western,F,40 to 49,13205,854,6.47
2018,Zone 1 - Western,F,50 to 59,18005,2015,11.19
2018,Zone 1 - Western,F,60 to 69,17834,3275,18.36
2018,Zone 1 - Western,F,70 to 79,12252,3139,25.62
2018,Zone 1 - Western,F,80 +,7942,2300,28.96
2018,Zone 1 - Western,M,20 to 29,11223,129,1.15
2018,Zone 1 - Western,M,30 to 39,11172,294,2.63
2018,Zone 1 - Western,M,40 to 49,12655,841,6.65
2018,Zone 1 - Western,M,50 to 59,17230,2416,14.02
2018,Zone 1 - Western,M,60 to 69,17215,4062,23.6
2018,Zone 1 - Western,M,70 to 79,11580,3784,32.68
2018,Zone 1 - Western,M,80 +,5521,1903,34.47
2019,Zone 4 - Central,F,20 to 29,34702,321,0.93
2019,Zone 4 - Central,F,30 to 39,38455,731,1.9
2019,Zone 4 - Central,F,40 to 49,35577,1662,4.67
2019,Zone 4 - Central,F,50 to 59,36853,3545,9.62
2019,Zone 4 - Central,F,60 to 69,31891,5143,16.13
2019,Zone 4 - Central,F,70 to 79,20457,4686,22.91
2019,Zone 4 - Central,F,80 +,12266,3122,25.45
2019,Zone 4 - Central,M,20 to 29,34554,324,0.94
2019,Zone 4 - Central,M,30 to 39,37211,810,2.18
2019,Zone 4 - Central,M,40 to 49,33861,1830,5.4
2019,Zone 4 - Central,M,50 to 59,35849,4659,13
2019,Zone 4 - Central,M,60 to 69,29654,6541,22.06
2019,Zone 4 - Central,M,70 to 79,18168,5775,31.79
2019,Zone 4 - Central,M,80 +,8179,2774,33.92
2019,Zone 3 - Eastern,F,20 to 29,9420,154,1.63
2019,Zone 3 - Eastern,F,30 to 39,9627,342,3.55
2019,Zone 3 - Eastern,F,40 to 49,10440,830,7.95
2019,Zone 3 - Eastern,F,50 to 59,13548,1741,12.85
2019,Zone 3 - Eastern,F,60 to 69,14673,2812,19.16
2019,Zone 3 - Eastern,F,70 to 79,10175,2748,27.01
2019,Zone 3 - Eastern,F,80 +,6456,1889,29.26
2019,Zone 3 - Eastern,M,20 to 29,9866,164,1.66
2019,Zone 3 - Eastern,M,30 to 39,9726,328,3.37
2019,Zone 3 - Eastern,M,40 to 49,10484,797,7.6
2019,Zone 3 - Eastern,M,50 to 59,13074,1942,14.85
2019,Zone 3 - Eastern,M,60 to 69,14172,3433,24.22
2019,Zone 3 - Eastern,M,70 to 79,9507,3203,33.69
2019,Zone 3 - Eastern,M,80 +,4259,1500,35.22
2019,Zone 2 - Northern,F,20 to 29,8738,97,1.11
2019,Zone 2 - Northern,F,30 to 39,9323,213,2.28
2019,Zone 2 - Northern,F,40 to 49,10668,725,6.8
2019,Zone 2 - Northern,F,50 to 59,12790,1489,11.64
2019,Zone 2 - Northern,F,60 to 69,12651,2243,17.73
2019,Zone 2 - Northern,F,70 to 79,8655,2122,24.52
2019,Zone 2 - Northern,F,80 +,5435,1414,26.02
2019,Zone 2 - Northern,M,20 to 29,9259,127,1.37
2019,Zone 2 - Northern,M,30 to 39,9281,250,2.69
2019,Zone 2 - Northern,M,40 to 49,10393,711,6.84
2019,Zone 2 - Northern,M,50 to 59,12495,1770,14.17
2019,Zone 2 - Northern,M,60 to 69,12314,2907,23.61
2019,Zone 2 - Northern,M,70 to 79,8149,2598,31.88
2019,Zone 2 - Northern,M,80 +,3692,1191,32.26
2019,Zone 1 - Western,F,20 to 29,10909,139,1.27
2019,Zone 1 - Western,F,30 to 39,11893,312,2.62
2019,Zone 1 - Western,F,40 to 49,13157,870,6.61
2019,Zone 1 - Western,F,50 to 59,17655,1950,11.05
2019,Zone 1 - Western,F,60 to 69,18268,3297,18.05
2019,Zone 1 - Western,F,70 to 79,12908,3299,25.56
2019,Zone 1 - Western,F,80 +,8057,2355,29.23
2019,Zone 1 - Western,M,20 to 29,11280,136,1.21
2019,Zone 1 - Western,M,30 to 39,11411,277,2.43
2019,Zone 1 - Western,M,40 to 49,12605,842,6.68
2019,Zone 1 - Western,M,50 to 59,16902,2396,14.18
2019,Zone 1 - Western,M,60 to 69,17492,4055,23.18
2019,Zone 1 - Western,M,70 to 79,12241,4002,32.69
2019,Zone 1 - Western,M,80 +,5687,1991,35.01
2020,Zone 4 - Central,F,20 to 29,35630,329,0.92
2020,Zone 4 - Central,F,30 to 39,39730,737,1.86
2020,Zone 4 - Central,F,40 to 49,36042,1681,4.66
2020,Zone 4 - Central,F,50 to 59,37076,3602,9.72
2020,Zone 4 - Central,F,60 to 69,32904,5225,15.88
2020,Zone 4 - Central,F,70 to 79,21511,4904,22.8
2020,Zone 4 - Central,F,80 +,12514,3143,25.12
2020,Zone 4 - Central,M,20 to 29,36172,329,0.91
2020,Zone 4 - Central,M,30 to 39,38460,816,2.12
2020,Zone 4 - Central,M,40 to 49,34419,1906,5.54
2020,Zone 4 - Central,M,50 to 59,35865,4599,12.82
2020,Zone 4 - Central,M,60 to 69,30678,6702,21.85
2020,Zone 4 - Central,M,70 to 79,19122,6090,31.85
2020,Zone 4 - Central,M,80 +,8529,2881,33.78
2020,Zone 3 - Eastern,F,20 to 29,9885,157,1.59
2020,Zone 3 - Eastern,F,30 to 39,9823,343,3.49
2020,Zone 3 - Eastern,F,40 to 49,10469,851,8.13
2020,Zone 3 - Eastern,F,50 to 59,13150,1695,12.89
2020,Zone 3 - Eastern,F,60 to 69,14921,2801,18.77
2020,Zone 3 - Eastern,F,70 to 79,10558,2811,26.62
2020,Zone 3 - Eastern,F,80 +,6606,1961,29.69
2020,Zone 3 - Eastern,M,20 to 29,10554,173,1.64
2020,Zone 3 - Eastern,M,30 to 39,10125,342,3.38
2020,Zone 3 - Eastern,M,40 to 49,10364,772,7.45
2020,Zone 3 - Eastern,M,50 to 59,12820,1897,14.8
2020,Zone 3 - Eastern,M,60 to 69,14334,3425,23.89
2020,Zone 3 - Eastern,M,70 to 79,9873,3335,33.78
2020,Zone 3 - Eastern,M,80 +,4460,1575,35.31
2020,Zone 2 - Northern,F,20 to 29,8785,105,1.2
2020,Zone 2 - Northern,F,30 to 39,9473,217,2.29
2020,Zone 2 - Northern,F,40 to 49,10541,688,6.53
2020,Zone 2 - Northern,F,50 to 59,12700,1501,11.82
2020,Zone 2 - Northern,F,60 to 69,12977,2288,17.63
2020,Zone 2 - Northern,F,70 to 79,9006,2187,24.28
2020,Zone 2 - Northern,F,80 +,5571,1447,25.97
2020,Zone 2 - Northern,M,20 to 29,9444,131,1.39
2020,Zone 2 - Northern,M,30 to 39,9436,264,2.8
2020,Zone 2 - Northern,M,40 to 49,10271,679,6.61
2020,Zone 2 - Northern,M,50 to 59,12423,1763,14.19
2020,Zone 2 - Northern,M,60 to 69,12504,2928,23.42
2020,Zone 2 - Northern,M,70 to 79,8517,2702,31.72
2020,Zone 2 - Northern,M,80 +,3874,1265,32.65
2020,Zone 1 - Western,F,20 to 29,10939,132,1.21
2020,Zone 1 - Western,F,30 to 39,12187,310,2.54
2020,Zone 1 - Western,F,40 to 49,13085,847,6.47
2020,Zone 1 - Western,F,50 to 59,17343,1923,11.09
2020,Zone 1 - Western,F,60 to 69,18781,3265,17.38
2020,Zone 1 - Western,F,70 to 79,13487,3407,25.26
2020,Zone 1 - Western,F,80 +,8250,2380,28.85
2020,Zone 1 - Western,M,20 to 29,11568,147,1.27
2020,Zone 1 - Western,M,30 to 39,11737,287,2.45
2020,Zone 1 - Western,M,40 to 49,12460,807,6.48
2020,Zone 1 - Western,M,50 to 59,16739,2373,14.18
2020,Zone 1 - Western,M,60 to 69,17973,4061,22.6
2020,Zone 1 - Western,M,70 to 79,12663,4143,32.72
2020,Zone 1 - Western,M,80 +,5925,2053,34.65
2021,Zone 4 - Central,F,20 to 29,35499,327,0.92
2021,Zone 4 - Central,F,30 to 39,41614,794,1.91
2021,Zone 4 - Central,F,40 to 49,36951,1703,4.61
2021,Zone 4 - Central,F,50 to 59,37259,3620,9.72
2021,Zone 4 - Central,F,60 to 69,34108,5410,15.86
2021,Zone 4 - Central,F,70 to 79,22582,5092,22.55
2021,Zone 4 - Central,F,80 +,12963,3214,24.79
2021,Zone 4 - Central,M,20 to 29,36016,325,0.9
2021,Zone 4 - Central,M,30 to 39,40266,871,2.16
2021,Zone 4 - Central,M,40 to 49,35492,1962,5.53
2021,Zone 4 - Central,M,50 to 59,35885,4493,12.52
2021,Zone 4 - Central,M,60 to 69,32116,6950,21.64
2021,Zone 4 - Central,M,70 to 79,19888,6278,31.57
2021,Zone 4 - Central,M,80 +,8920,3037,34.05
2021,Zone 3 - Eastern,F,20 to 29,9910,169,1.71
2021,Zone 3 - Eastern,F,30 to 39,10086,363,3.6
2021,Zone 3 - Eastern,F,40 to 49,10464,843,8.06
2021,Zone 3 - Eastern,F,50 to 59,12992,1723,13.26
2021,Zone 3 - Eastern,F,60 to 69,15135,2856,18.87
2021,Zone 3 - Eastern,F,70 to 79,10912,2885,26.44
2021,Zone 3 - Eastern,F,80 +,6804,2034,29.89
2021,Zone 3 - Eastern,M,20 to 29,10613,166,1.56
2021,Zone 3 - Eastern,M,30 to 39,10441,351,3.36
2021,Zone 3 - Eastern,M,40 to 49,10340,771,7.46
2021,Zone 3 - Eastern,M,50 to 59,12639,1884,14.91
2021,Zone 3 - Eastern,M,60 to 69,14521,3432,23.63
2021,Zone 3 - Eastern,M,70 to 79,10255,3462,33.76
2021,Zone 3 - Eastern,M,80 +,4708,1657,35.2
2021,Zone 2 - Northern,F,20 to 29,8787,115,1.31
2021,Zone 2 - Northern,F,30 to 39,9728,240,2.47
2021,Zone 2 - Northern,F,40 to 49,10528,670,6.36
2021,Zone 2 - Northern,F,50 to 59,12632,1497,11.85
2021,Zone 2 - Northern,F,60 to 69,13373,2390,17.87
2021,Zone 2 - Northern,F,70 to 79,9400,2293,24.39
2021,Zone 2 - Northern,F,80 +,5756,1484,25.78
2021,Zone 2 - Northern,M,20 to 29,9438,130,1.38
2021,Zone 2 - Northern,M,30 to 39,9777,281,2.87
2021,Zone 2 - Northern,M,40 to 49,10160,677,6.66
2021,Zone 2 - Northern,M,50 to 59,12394,1749,14.11
2021,Zone 2 - Northern,M,60 to 69,12827,3021,23.55
2021,Zone 2 - Northern,M,70 to 79,8817,2810,31.87
2021,Zone 2 - Northern,M,80 +,4090,1364,33.35
2021,Zone 1 - Western,F,20 to 29,11039,135,1.22
2021,Zone 1 - Western,F,30 to 39,12630,315,2.49
2021,Zone 1 - Western,F,40 to 49,13141,826,6.29
2021,Zone 1 - Western,F,50 to 59,17185,1891,11
2021,Zone 1 - Western,F,60 to 69,19451,3355,17.25
2021,Zone 1 - Western,F,70 to 79,14079,3514,24.96
2021,Zone 1 - Western,F,80 +,8488,2413,28.43
2021,Zone 1 - Western,M,20 to 29,11618,151,1.3
2021,Zone 1 - Western,M,30 to 39,12184,287,2.36
2021,Zone 1 - Western,M,40 to 49,12655,812,6.42
2021,Zone 1 - Western,M,50 to 59,16417,2325,14.16
2021,Zone 1 - Western,M,60 to 69,18572,4140,22.29
2021,Zone 1 - Western,M,70 to 79,13155,4245,32.27
2021,Zone 1 - Western,M,80 +,6206,2148,34.61
2022,Zone 4 - Central,F,20 to 29,35574,345,0.97
2022,Zone 4 - Central,F,30 to 39,44340,825,1.86
2022,Zone 4 - Central,F,40 to 49,38687,1769,4.57
2022,Zone 4 - Central,F,50 to 59,37169,3615,9.73
2022,Zone 4 - Central,F,60 to 69,35323,5619,15.91
2022,Zone 4 - Central,F,70 to 79,23520,5293,22.5
2022,Zone 4 - Central,F,80 +,13449,3363,25.01
2022,Zone 4 - Central,M,20 to 29,35843,329,0.92
2022,Zone 4 - Central,M,30 to 39,43045,893,2.07
2022,Zone 4 - Central,M,40 to 49,37256,2053,5.51
2022,Zone 4 - Central,M,50 to 59,35942,4444,12.36
2022,Zone 4 - Central,M,60 to 69,33468,7246,21.65
2022,Zone 4 - Central,M,70 to 79,20670,6433,31.12
2022,Zone 4 - Central,M,80 +,9460,3225,34.09
2022,Zone 3 - Eastern,F,20 to 29,10060,175,1.74
2022,Zone 3 - Eastern,F,30 to 39,10692,378,3.54
2022,Zone 3 - Eastern,F,40 to 49,10574,855,8.09
2022,Zone 3 - Eastern,F,50 to 59,12631,1731,13.7
2022,Zone 3 - Eastern,F,60 to 69,15412,2916,18.92
2022,Zone 3 - Eastern,F,70 to 79,11288,3030,26.84
2022,Zone 3 - Eastern,F,80 +,6994,2068,29.57
2022,Zone 3 - Eastern,M,20 to 29,10631,158,1.49
2022,Zone 3 - Eastern,M,30 to 39,10972,383,3.49
2022,Zone 3 - Eastern,M,40 to 49,10559,790,7.48
2022,Zone 3 - Eastern,M,50 to 59,12334,1894,15.36
2022,Zone 3 - Eastern,M,60 to 69,14624,3438,23.51
2022,Zone 3 - Eastern,M,70 to 79,10650,3609,33.89
2022,Zone 3 - Eastern,M,80 +,4954,1760,35.53
2022,Zone 2 - Northern,F,20 to 29,8746,114,1.3
2022,Zone 2 - Northern,F,30 to 39,9997,249,2.49
2022,Zone 2 - Northern,F,40 to 49,10619,674,6.35
2022,Zone 2 - Northern,F,50 to 59,12503,1531,12.25
2022,Zone 2 - Northern,F,60 to 69,13668,2467,18.05
2022,Zone 2 - Northern,F,70 to 79,9763,2393,24.51
2022,Zone 2 - Northern,F,80 +,5899,1537,26.06
2022,Zone 2 - Northern,M,20 to 29,9319,118,1.27
2022,Zone 2 - Northern,M,30 to 39,10095,292,2.89
2022,Zone 2 - Northern,M,40 to 49,10200,680,6.67
2022,Zone 2 - Northern,M,50 to 59,12340,1779,14.42
2022,Zone 2 - Northern,M,60 to 69,13019,3033,23.3
2022,Zone 2 - Northern,M,70 to 79,9133,2934,32.13
2022,Zone 2 - Northern,M,80 +,4271,1441,33.74
2022,Zone 1 - Western,F,20 to 29,11085,136,1.23
2022,Zone 1 - Western,F,30 to 39,13021,316,2.43
2022,Zone 1 - Western,F,40 to 49,13347,827,6.2
2022,Zone 1 - Western,F,50 to 59,16888,1883,11.15
2022,Zone 1 - Western,F,60 to 69,19986,3462,17.32
2022,Zone 1 - Western,F,70 to 79,14508,3597,24.79
2022,Zone 1 - Western,F,80 +,8857,2522,28.47
2022,Zone 1 - Western,M,20 to 29,11574,154,1.33
2022,Zone 1 - Western,M,30 to 39,12653,296,2.34
2022,Zone 1 - Western,M,40 to 49,12816,833,6.5
2022,Zone 1 - Western,M,50 to 59,16264,2322,14.28
2022,Zone 1 - Western,M,60 to 69,18973,4202,22.15
2022,Zone 1 - Western,M,70 to 79,13598,4352,32
2022,Zone 1 - Western,M,80 +,6462,2249,34.8
